;item_festival;;;;;;;;;;;January
168;Pradosh Vrat;July;14;2023;;;;;;;;
169;Karka Sankranti;July;16;2023;;;;;;;;
170;Anvadhan;July;17;2023;;;;;;;;
171;Darsha Amavasya;July;17;2023;;;;;;;;
172;Somavati Amavasya;July;17;2023;;;;;;;;
173;Shravana Amavasya;July;17;2023;;;;;;;;
174;Ishti;July;18;2023;;;;;;;;
175;Adhika Chandra Darshana;July;19;2023;;;;;;;;
176;Padmini Ekadashi;July;29;2023;;;;;;;;
177;Adhika Pradosh Vrat;July;30;2023;;;;;;;;
178;Anvadhan;August;1;2023;;;;;;;;
179;Shravana Adhika Purnima;August;1;2023;;;;;;;;
180;Ishti;August;2;2023;;;;;;;;
181;Vibhuvana Sankashti Chaturthi;August;4;2023;;;;;;;;
182;Parama Ekadashi;August;11;2023;;;;;;;;
183;Vaishnava Parama Ekadashi;August;12;2023;;;;;;;;
184;Adhika Pradosh Vrat;August;13;2023;;;;;;;;
185;Adhika Darsha Amavasya;August;15;2023;;;;;;;;
186;Anvadhan;August;16;2023;;;;;;;;
187;Shravana Adhika Amavasya;August;16;2023;;;;;;;;
188;Ishti;August;17;2023;;;;;;;;
189;Simha Sankranti;August;17;2023;;;;;;;;
190;Chandra Darshana;August;18;2023;;;;;;;;
191;Hariyali Teej;August;19;2023;;;;;;;;
192;Nag Panchami;August;21;2023;;;;;;;;
193;Kalki Jayanti;August;22;2023;;;;;;;;
194;Varalakshmi Vrat;August;25;2023;;;;;;;;
195;Shravana Putrada Ekadashi;August;27;2023;;;;;;;;
196;Pradosh Vrat;August;28;2023;;;;;;;;
197;Rakhi;August;30;2023;;;;;;;;
198;Anvadhan;August;30;2023;;;;;;;;
199;Raksha Bandhan;August;30;2023;;;;;;;;
200;Gayatri Jayanti;August;30;2023;;;;;;;;
201;Shravana Purnima;August;30;2023;;;;;;;;
202;Ishti;August;31;2023;;;;;;;;
203;Kajari Teej;September;2;2023;;;;;;;;
204;Bahula Chaturthi;September;2;2023;;;;;;;;
205;Heramba Sankashti Chaturthi;September;2;2023;;;;;;;;
206;Shravana Putrada Ekadashi;August;27;2023;;;;;;;;
207;Pradosh Vrat;August;28;2023;;;;;;;;
208;Rakhi;August;30;2023;;;;;;;;
209;Anvadhan;August;30;2023;;;;;;;;
210;Raksha Bandhan;August;30;2023;;;;;;;;
211;Gayatri Jayanti;August;30;2023;;;;;;;;
212;Shravana Purnima;August;30;2023;;;;;;;;
213;Ishti;August;31;2023;;;;;;;;
214;Kajari Teej;September;2;2023;;;;;;;;
215;Bahula Chaturthi;September;2;2023;;;;;;;;
216;Heramba Sankashti Chaturthi;September;2;2023;;;;;;;;
217;Balarama Jayanti;September;5;2023;;;;;;;;
218;Janmashtami *Smarta;September;6;2023;;;;;;;;
219;Dahi Handi;September;7;2023;;;;;;;;
220;Janmashtami *ISKCON;September;7;2023;;;;;;;;
